epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1572642239798,2019-11-01T21:03:59.798,0.000,-13.167,10.187,20.896
1572642239818,2019-11-01T21:03:59.818,0.020,-13.152,10.053,21.018
1572642239839,2019-11-01T21:03:59.839,0.041,-13.773,12.317,21.284
1572642239859,2019-11-01T21:03:59.859,0.061,-12.561,14.108,21.162
1572642239879,2019-11-01T21:03:59.879,0.081,-9.055,14.055,21.010
1572642239899,2019-11-01T21:03:59.899,0.101,-7.138,13.605,21.822
1572642239920,2019-11-01T21:03:59.920,0.122,-5.534,14.501,22.805
1572642239939,2019-11-01T21:03:59.939,0.141,-8.525,14.139,21.639
1572642239959,2019-11-01T21:03:59.959,0.161,-9.806,11.738,19.798
1572642239980,2019-11-01T21:03:59.980,0.182,-9.215,10.454,18.902
1572642239999,2019-11-01T21:03:59.999,0.201,-9.276,9.402,17.687
1572642240019,2019-11-01T21:04:00.019,0.221,-10.918,9.543,16.627
1572642240040,2019-11-01T21:04:00.040,0.242,-11.086,8.445,16.303
1572642240060,2019-11-01T21:04:00.060,0.262,-11.715,7.195,16.246
1572642240079,2019-11-01T21:04:00.079,0.281,-14.451,6.086,15.804
1572642240100,2019-11-01T21:04:00.100,0.302,-15.126,3.758,14.619
1572642240120,2019-11-01T21:04:00.120,0.322,-13.666,2.123,13.861
1572642240139,2019-11-01T21:04:00.139,0.341,-13.335,1.822,13.216
1572642240160,2019-11-01T21:04:00.160,0.362,-16.604,0.347,10.991
1572642240180,2019-11-01T21:04:00.180,0.382,-20.983,1.376,9.627
1572642240199,2019-11-01T21:04:00.199,0.401,-20.774,3.982,10.457
1572642240220,2019-11-01T21:04:00.220,0.422,-23.662,5.545,9.024
1572642240240,2019-11-01T21:04:00.240,0.442,-26.780,3.186,9.486
1572642240259,2019-11-01T21:04:00.259,0.461,-32.774,2.999,10.697
1572642240280,2019-11-01T21:04:00.280,0.482,-35.808,5.084,11.635
1572642240300,2019-11-01T21:04:00.300,0.502,-20.362,3.502,12.321
1572642240319,2019-11-01T21:04:00.319,0.521,-12.367,-0.922,13.377
1572642240340,2019-11-01T21:04:00.340,0.542,-14.177,-2.336,15.316
1572642240360,2019-11-01T21:04:00.360,0.562,-14.101,0.370,17.355
1572642240381,2019-11-01T21:04:00.381,0.583,-10.339,-1.200,17.043
1572642240400,2019-11-01T21:04:00.400,0.602,-13.354,-5.053,15.682
1572642240421,2019-11-01T21:04:00.421,0.623,-27.835,-4.345,15.918
1572642240441,2019-11-01T21:04:00.441,0.643,-48.415,-6.460,17.893
1572642240460,2019-11-01T21:04:00.460,0.662,-64.821,-13.483,19.931
1572642240481,2019-11-01T21:04:00.481,0.683,-64.748,-14.992,10.610
1572642240501,2019-11-01T21:04:00.501,0.703,-56.159,-11.429,4.158
1572642240520,2019-11-01T21:04:00.520,0.722,-45.743,-12.332,10.831
1572642240541,2019-11-01T21:04:00.541,0.743,-29.223,-15.655,12.085
1572642240561,2019-11-01T21:04:00.561,0.763,-21.871,-15.964,11.665
1572642240580,2019-11-01T21:04:00.580,0.782,-22.069,-12.858,9.817
1572642240601,2019-11-01T21:04:00.601,0.803,-21.155,-9.592,8.129
1572642240621,2019-11-01T21:04:00.621,0.823,-20.595,-6.399,7.896
1572642240642,2019-11-01T21:04:00.642,0.844,-15.019,-4.775,7.641
1572642240661,2019-11-01T21:04:00.661,0.863,-7.344,-5.404,7.881
1572642240681,2019-11-01T21:04:00.681,0.883,7.294,-5.267,9.897
1572642240702,2019-11-01T21:04:00.702,0.904,22.008,-7.790,10.141
1572642240721,2019-11-01T21:04:00.721,0.923,43.072,-10.240,12.618
1572642240741,2019-11-01T21:04:00.741,0.943,47.195,-5.823,15.194
1572642240762,2019-11-01T21:04:00.762,0.964,44.318,-5.743,11.338
1572642240781,2019-11-01T21:04:00.781,0.983,41.227,-5.705,11.128
1572642240801,2019-11-01T21:04:00.801,1.003,40.499,1.471,11.101
1572642240822,2019-11-01T21:04:00.822,1.024,47.820,2.043,9.691
1572642240841,2019-11-01T21:04:00.841,1.043,32.412,5.671,9.489
1572642240861,2019-11-01T21:04:00.861,1.063,12.713,7.271,7.443
1572642240882,2019-11-01T21:04:00.882,1.084,-6.688,8.605,3.872
1572642240902,2019-11-01T21:04:00.902,1.104,-12.679,10.591,2.630
1572642240922,2019-11-01T21:04:00.922,1.124,-5.473,9.611,0.221
1572642240942,2019-11-01T21:04:00.942,1.144,5.191,7.229,-2.188
1572642240963,2019-11-01T21:04:00.963,1.165,3.540,7.069,-4.909
1572642240982,2019-11-01T21:04:00.982,1.184,-3.819,8.487,-5.690
1572642241002,2019-11-01T21:04:01.002,1.204,2.954,11.845,-2.256
1572642241023,2019-11-01T21:04:01.023,1.225,17.923,14.184,1.974
1572642241042,2019-11-01T21:04:01.042,1.244,16.258,14.367,0.694
1572642241062,2019-11-01T21:04:01.062,1.264,1.277,15.126,-2.713
1572642241083,2019-11-01T21:04:01.083,1.285,-18.327,15.918,-4.985
1572642241102,2019-11-01T21:04:01.102,1.304,-34.101,15.774,-5.625
1572642241122,2019-11-01T21:04:01.122,1.324,-36.471,14.562,-4.482
1572642241143,2019-11-01T21:04:01.143,1.345,-28.563,12.927,-6.334
1572642241162,2019-11-01T21:04:01.162,1.364,-29.920,11.242,-8.834
1572642241182,2019-11-01T21:04:01.182,1.384,-31.322,10.210,-8.175
1572642241203,2019-11-01T21:04:01.203,1.405,-27.401,6.822,-5.282
1572642241223,2019-11-01T21:04:01.223,1.425,-22.797,5.884,-3.800
1572642241242,2019-11-01T21:04:01.242,1.444,-13.510,5.419,-2.813
1572642241263,2019-11-01T21:04:01.263,1.465,-7.130,3.590,-1.856
1572642241283,2019-11-01T21:04:01.283,1.485,-5.941,2.401,-0.221
1572642241302,2019-11-01T21:04:01.302,1.504,-8.704,2.740,0.507
1572642241323,2019-11-01T21:04:01.323,1.525,-12.382,3.239,1.437
1572642241343,2019-11-01T21:04:01.343,1.545,-11.734,2.698,3.026
1572642241362,2019-11-01T21:04:01.362,1.564,-6.235,1.311,3.457
1572642241383,2019-11-01T21:04:01.383,1.585,-5.099,-0.495,3.296
1572642241403,2019-11-01T21:04:01.403,1.605,-11.311,-0.835,3.335
1572642241422,2019-11-01T21:04:01.422,1.624,-17.630,-1.532,3.822
1572642241443,2019-11-01T21:04:01.443,1.645,-14.638,-3.601,4.059
1572642241463,2019-11-01T21:04:01.463,1.665,-9.829,-5.621,3.178
1572642241484,2019-11-01T21:04:01.484,1.686,-9.272,-7.542,2.294
1572642241503,2019-11-01T21:04:01.503,1.705,-13.807,-8.498,3.624
1572642241524,2019-11-01T21:04:01.524,1.726,-17.462,-6.787,3.979
1572642241544,2019-11-01T21:04:01.544,1.746,-18.841,-3.030,3.830
1572642241563,2019-11-01T21:04:01.563,1.765,-19.207,1.216,4.787
1572642241584,2019-11-01T21:04:01.584,1.786,-16.620,4.421,3.963
1572642241604,2019-11-01T21:04:01.604,1.806,-13.929,5.617,3.388
1572642241623,2019-11-01T21:04:01.623,1.825,-12.477,5.469,3.098
1572642241644,2019-11-01T21:04:01.644,1.846,-10.640,5.652,1.441
1572642241664,2019-11-01T21:04:01.664,1.866,-8.388,4.931,0.015
1572642241683,2019-11-01T21:04:01.683,1.885,-3.811,3.819,-0.385
1572642241704,2019-11-01T21:04:01.704,1.906,-3.300,4.760,-0.556
1572642241724,2019-11-01T21:04:01.724,1.926,-2.752,6.441,0.118
1572642241745,2019-11-01T21:04:01.745,1.947,0.530,6.532,0.541
1572642241764,2019-11-01T21:04:01.764,1.966,2.732,6.166,0.686
1572642241784,2019-11-01T21:04:01.784,1.986,3.464,5.964,0.602
1572642241805,2019-11-01T21:04:01.805,2.007,4.588,6.970,-0.210
1572642241824,2019-11-01T21:04:01.824,2.026,4.611,9.844,-0.217
1572642241844,2019-11-01T21:04:01.844,2.046,8.792,8.152,-0.320
1572642241865,2019-11-01T21:04:01.865,2.067,10.229,4.402,-1.677
1572642241884,2019-11-01T21:04:01.884,2.086,5.008,6.886,-2.984
1572642241904,2019-11-01T21:04:01.904,2.106,-0.671,10.503,-3.720
1572642241925,2019-11-01T21:04:01.925,2.127,-0.210,7.721,-4.623
1572642241944,2019-11-01T21:04:01.944,2.146,0.934,4.489,-5.412
1572642241964,2019-11-01T21:04:01.964,2.166,1.909,3.422,-5.183
1572642241985,2019-11-01T21:04:01.985,2.187,1.917,0.819,-5.210
1572642242005,2019-11-01T21:04:02.005,2.207,-1.128,-0.088,-4.821
1572642242025,2019-11-01T21:04:02.025,2.227,-0.789,1.784,-3.967
1572642242045,2019-11-01T21:04:02.045,2.247,2.370,1.010,-3.426
1572642242066,2019-11-01T21:04:02.066,2.268,2.588,-1.612,-3.266
1572642242085,2019-11-01T21:04:02.085,2.287,1.166,-2.298,-2.790
1572642242105,2019-11-01T21:04:02.105,2.307,1.864,-2.496,-1.574
1572642242126,2019-11-01T21:04:02.126,2.328,5.393,-3.030,-0.050
1572642242145,2019-11-01T21:04:02.145,2.347,8.438,-3.700,0.728
1572642242165,2019-11-01T21:04:02.165,2.367,9.973,-5.553,0.465
1572642242186,2019-11-01T21:04:02.186,2.388,8.700,-8.144,-0.278
1572642242205,2019-11-01T21:04:02.205,2.407,5.415,-7.386,0.328
1572642242225,2019-11-01T21:04:02.225,2.427,4.478,-5.373,1.681
1572642242246,2019-11-01T21:04:02.246,2.448,4.920,-3.430,1.936
1572642242266,2019-11-01T21:04:02.266,2.468,4.653,-2.767,1.280
1572642242285,2019-11-01T21:04:02.285,2.487,5.107,-3.209,0.492
1572642242306,2019-11-01T21:04:02.306,2.508,4.939,-3.056,1.059
1572642242326,2019-11-01T21:04:02.326,2.528,3.194,-1.604,1.913
1572642242345,2019-11-01T21:04:02.345,2.547,2.618,-0.663,1.982
1572642242366,2019-11-01T21:04:02.366,2.568,3.335,-0.705,1.482
1572642242386,2019-11-01T21:04:02.386,2.588,2.858,-0.019,1.402
1572642242405,2019-11-01T21:04:02.405,2.607,3.807,-0.842,1.864
1572642242426,2019-11-01T21:04:02.426,2.628,4.989,-2.496,1.837
1572642242446,2019-11-01T21:04:02.446,2.648,3.902,-2.740,1.688
1572642242465,2019-11-01T21:04:02.465,2.667,2.127,-2.706,1.662
1572642242486,2019-11-01T21:04:02.486,2.688,0.457,-2.550,1.734
1572642242506,2019-11-01T21:04:02.506,2.708,0.724,-3.133,2.382
1572642242527,2019-11-01T21:04:02.527,2.729,2.184,-4.562,3.251
1572642242546,2019-11-01T21:04:02.546,2.748,3.262,-4.707,3.510
1572642242567,2019-11-01T21:04:02.567,2.769,3.579,-3.716,3.003
1572642242587,2019-11-01T21:04:02.587,2.789,2.931,-2.569,2.382
1572642242606,2019-11-01T21:04:02.606,2.808,1.902,-1.124,2.153
1572642242627,2019-11-01T21:04:02.627,2.829,1.471,-0.903,2.336
1572642242647,2019-11-01T21:04:02.647,2.849,1.799,-1.044,2.329
1572642242666,2019-11-01T21:04:02.666,2.868,1.749,-1.463,1.955
1572642242687,2019-11-01T21:04:02.687,2.889,2.420,-2.146,1.726
1572642242707,2019-11-01T21:04:02.707,2.909,3.445,-2.611,1.898
1572642242726,2019-11-01T21:04:02.726,2.928,2.862,-2.450,1.784
1572642242747,2019-11-01T21:04:02.747,2.949,2.210,-2.100,1.353
1572642242767,2019-11-01T21:04:02.767,2.969,1.498,-2.012,0.907
1572642242786,2019-11-01T21:04:02.786,2.988,1.117,-3.140,0.629
1572642242807,2019-11-01T21:04:02.807,3.009,0.553,-2.870,0.686
1572642242827,2019-11-01T21:04:02.827,3.029,0.911,-1.822,0.816
1572642242848,2019-11-01T21:04:02.848,3.050,2.252,-1.246,0.381
1572642242867,2019-11-01T21:04:02.867,3.069,2.611,-1.509,0.343
1572642242887,2019-11-01T21:04:02.887,3.089,2.698,-1.745,0.701
1572642242908,2019-11-01T21:04:02.908,3.110,1.993,-1.037,0.675
1572642242927,2019-11-01T21:04:02.927,3.129,1.543,-0.739,0.057
1572642242947,2019-11-01T21:04:02.947,3.149,2.058,-1.441,-0.225
1572642242968,2019-11-01T21:04:02.968,3.170,1.361,-1.357,-0.126
1572642242987,2019-11-01T21:04:02.987,3.189,0.903,-0.408,0.225
1572642243007,2019-11-01T21:04:03.007,3.209,1.505,-0.213,0.461
1572642243028,2019-11-01T21:04:03.028,3.230,2.645,-1.547,0.686
1572642243047,2019-11-01T21:04:03.047,3.249,2.630,-1.940,1.220
1572642243067,2019-11-01T21:04:03.067,3.269,1.223,-0.503,1.258
1572642243088,2019-11-01T21:04:03.088,3.290,0.751,0.427,0.667
1572642243109,2019-11-01T21:04:03.109,3.311,3.018,-1.002,0.313
1572642243128,2019-11-01T21:04:03.128,3.330,5.793,-2.908,0.248
1572642243148,2019-11-01T21:04:03.148,3.350,5.694,-2.671,-0.191
1572642243169,2019-11-01T21:04:03.169,3.371,2.938,-0.427,-0.579
1572642243188,2019-11-01T21:04:03.188,3.390,0.141,0.076,-0.979
1572642243208,2019-11-01T21:04:03.208,3.410,-0.313,-1.471,-1.288
1572642243229,2019-11-01T21:04:03.229,3.431,-0.907,0.408,-1.117
1572642243248,2019-11-01T21:04:03.248,3.450,-1.749,2.237,-0.720
1572642243268,2019-11-01T21:04:03.268,3.470,-0.492,1.239,-0.320
1572642243289,2019-11-01T21:04:03.289,3.491,0.396,-1.143,-0.286
1572642243308,2019-11-01T21:04:03.308,3.510,-1.021,-1.208,-0.415
1572642243328,2019-11-01T21:04:03.328,3.530,-2.470,0.015,-0.133
1572642243349,2019-11-01T21:04:03.349,3.551,-1.216,-0.263,-0.008
1572642243369,2019-11-01T21:04:03.369,3.571,0.549,-1.326,-0.202
1572642243388,2019-11-01T21:04:03.388,3.590,-0.381,-0.877,-0.133
1572642243409,2019-11-01T21:04:03.409,3.611,0.553,-1.166,0.419
1572642243429,2019-11-01T21:04:03.429,3.631,10.945,-6.650,0.854
1572642243448,2019-11-01T21:04:03.448,3.650,25.480,-16.048,-0.454
1572642243469,2019-11-01T21:04:03.469,3.671,-0.800,-8.171,-2.138
1572642243489,2019-11-01T21:04:03.489,3.691,-16.852,7.740,0.743
1572642243508,2019-11-01T21:04:03.508,3.710,-6.399,0.964,0.229
1572642243529,2019-11-01T21:04:03.529,3.731,1.406,-21.357,-10.995
1572642243549,2019-11-01T21:04:03.549,3.751,-14.832,-17.207,-10.838
1572642243568,2019-11-01T21:04:03.568,3.770,-11.288,-2.046,1.502
1572642243589,2019-11-01T21:04:03.589,3.791,30.454,-0.697,2.717
1572642243609,2019-11-01T21:04:03.609,3.811,41.959,4.108,-1.216
1572642243630,2019-11-01T21:04:03.630,3.832,3.331,11.730,-0.823
1572642243649,2019-11-01T21:04:03.649,3.851,-12.142,15.957,-0.575
1572642243670,2019-11-01T21:04:03.670,3.872,2.732,1.467,3.110
1572642243690,2019-11-01T21:04:03.690,3.892,18.586,-4.981,7.500
1572642243709,2019-11-01T21:04:03.709,3.911,13.849,4.882,5.030
1572642243730,2019-11-01T21:04:03.730,3.932,1.479,7.043,0.659
1572642243750,2019-11-01T21:04:03.750,3.952,-0.667,0.362,2.283
1572642243769,2019-11-01T21:04:03.769,3.971,-2.793,-2.877,1.231
1572642243790,2019-11-01T21:04:03.790,3.992,-12.793,0.816,-1.429
1572642243810,2019-11-01T21:04:03.810,4.012,-25.324,15.412,-1.639
1572642243829,2019-11-01T21:04:03.829,4.031,-17.248,17.378,1.402
1572642243850,2019-11-01T21:04:03.850,4.052,0.808,-15.084,-3.220
1572642243870,2019-11-01T21:04:03.870,4.072,-8.960,-27.611,-8.422
1572642243891,2019-11-01T21:04:03.891,4.093,-20.423,-3.986,-0.187
1572642243910,2019-11-01T21:04:03.910,4.112,10.606,1.273,1.871
1572642243930,2019-11-01T21:04:03.930,4.132,21.502,-0.918,0.057
1572642243951,2019-11-01T21:04:03.951,4.153,9.234,1.883,1.357
1572642243970,2019-11-01T21:04:03.970,4.172,8.274,2.016,1.955
1572642243990,2019-11-01T21:04:03.990,4.192,6.730,0.305,1.578
1572642244011,2019-11-01T21:04:04.011,4.213,0.888,-0.122,1.707
1572642244030,2019-11-01T21:04:04.030,4.232,-0.038,1.905,1.848
1572642244050,2019-11-01T21:04:04.050,4.252,1.913,1.475,0.537
1572642244071,2019-11-01T21:04:04.071,4.273,-0.812,-0.469,-0.484
1572642244090,2019-11-01T21:04:04.090,4.292,-3.605,-0.835,-0.084
1572642244110,2019-11-01T21:04:04.110,4.312,-3.262,-1.951,0.179
1572642244131,2019-11-01T21:04:04.131,4.333,-2.664,-3.030,-0.320
1572642244151,2019-11-01T21:04:04.151,4.353,-2.092,-2.374,-0.629
1572642244171,2019-11-01T21:04:04.171,4.373,-1.368,-1.292,-0.526
1572642244191,2019-11-01T21:04:04.191,4.393,-1.101,-0.568,-0.419
1572642244212,2019-11-01T21:04:04.212,4.414,-0.907,0.183,-0.183
1572642244231,2019-11-01T21:04:04.231,4.433,-0.343,-0.644,-0.213
1572642244251,2019-11-01T21:04:04.251,4.453,-0.526,-1.265,-0.415
1572642244272,2019-11-01T21:04:04.272,4.474,-1.376,-0.370,-0.503
1572642244291,2019-11-01T21:04:04.291,4.493,-1.124,0.514,-0.362
1572642244311,2019-11-01T21:04:04.311,4.513,-0.358,0.869,-0.091
1572642244332,2019-11-01T21:04:04.332,4.534,-1.040,-0.911,-0.122
1572642244351,2019-11-01T21:04:04.351,4.553,-1.734,-2.439,-0.339
1572642244371,2019-11-01T21:04:04.371,4.573,-2.355,-2.020,-0.187
1572642244392,2019-11-01T21:04:04.392,4.594,-1.803,-0.922,-0.549
1572642244412,2019-11-01T21:04:04.412,4.614,-0.831,-0.968,-0.873
1572642244431,2019-11-01T21:04:04.431,4.633,-0.175,-1.071,-0.873
1572642244452,2019-11-01T21:04:04.452,4.654,-0.274,-0.133,-0.831
1572642244472,2019-11-01T21:04:04.472,4.674,-0.434,0.168,-0.831
1572642244491,2019-11-01T21:04:04.491,4.693,-0.057,-0.152,-0.964
1572642244512,2019-11-01T21:04:04.512,4.714,-0.240,-0.633,-1.014
1572642244532,2019-11-01T21:04:04.532,4.734,-0.755,-0.781,-0.850
1572642244551,2019-11-01T21:04:04.551,4.753,-0.149,-1.944,-0.716
1572642244572,2019-11-01T21:04:04.572,4.774,1.174,-4.284,-0.503
1572642244592,2019-11-01T21:04:04.592,4.794,7.683,-2.923,0.076
1572642244611,2019-11-01T21:04:04.611,4.813,-2.096,3.270,0.248
1572642244632,2019-11-01T21:04:04.632,4.834,-19.863,6.059,0.431
1572642244652,2019-11-01T21:04:04.652,4.854,-8.110,-12.862,-7.290
1572642244673,2019-11-01T21:04:04.673,4.875,-16.277,-19.287,-10.762
1572642244692,2019-11-01T21:04:04.692,4.894,-20.922,-6.715,-0.979
1572642244713,2019-11-01T21:04:04.713,4.915,2.607,-1.471,1.936
1572642244733,2019-11-01T21:04:04.733,4.935,30.686,3.704,2.698
1572642244752,2019-11-01T21:04:04.752,4.954,35.252,7.382,4.245
1572642244773,2019-11-01T21:04:04.773,4.975,9.280,5.118,3.647
1572642244793,2019-11-01T21:04:04.793,4.995,-0.393,-3.586,2.489
1572642244812,2019-11-01T21:04:04.812,5.014,6.616,-5.461,5.347
1572642244833,2019-11-01T21:04:04.833,5.035,10.015,2.877,4.630
1572642244853,2019-11-01T21:04:04.853,5.055,5.960,7.873,1.521
1572642244872,2019-11-01T21:04:04.872,5.074,1.353,5.488,0.842
1572642244893,2019-11-01T21:04:04.893,5.095,-0.431,0.305,2.119
1572642244913,2019-11-01T21:04:04.913,5.115,-4.074,-1.056,1.814
1572642244934,2019-11-01T21:04:04.934,5.136,-10.968,-1.444,0.793
1572642244953,2019-11-01T21:04:04.953,5.155,-18.708,-1.524,0.362
1572642244973,2019-11-01T21:04:04.973,5.175,-24.486,9.623,0.918
1572642244994,2019-11-01T21:04:04.994,5.196,-13.388,3.910,-2.188
1572642245013,2019-11-01T21:04:05.013,5.215,-2.489,-23.632,-10.918
1572642245033,2019-11-01T21:04:05.033,5.235,-18.708,-17.188,-7.077
1572642245054,2019-11-01T21:04:05.054,5.256,-14.768,0.130,2.481
1572642245073,2019-11-01T21:04:05.073,5.275,20.442,4.104,2.862
1572642245093,2019-11-01T21:04:05.093,5.295,33.838,7.443,2.835
1572642245114,2019-11-01T21:04:05.114,5.316,21.269,3.582,3.430
1572642245133,2019-11-01T21:04:05.133,5.335,5.835,-2.847,1.509
1572642245153,2019-11-01T21:04:05.153,5.355,1.974,-3.982,2.713
1572642245174,2019-11-01T21:04:05.174,5.376,3.880,2.283,3.396
1572642245193,2019-11-01T21:04:05.193,5.395,5.663,5.938,1.925
1572642245213,2019-11-01T21:04:05.213,5.415,1.494,4.329,0.343
1572642245234,2019-11-01T21:04:05.234,5.436,-5.194,1.524,1.681
1572642245255,2019-11-01T21:04:05.255,5.457,-12.210,-2.203,0.964
1572642245274,2019-11-01T21:04:05.274,5.476,-23.213,9.493,0.084
1572642245294,2019-11-01T21:04:05.294,5.496,-11.974,-1.326,-3.525
1572642245315,2019-11-01T21:04:05.315,5.517,0.819,-28.739,-11.833
1572642245334,2019-11-01T21:04:05.334,5.536,-21.543,-9.718,-4.870
1572642245354,2019-11-01T21:04:05.354,5.556,5.591,6.063,3.091
1572642245375,2019-11-01T21:04:05.375,5.577,39.882,5.320,0.473
1572642245394,2019-11-01T21:04:05.394,5.596,14.284,2.058,0.652
1572642245414,2019-11-01T21:04:05.414,5.616,-5.564,0.019,1.296
1572642245435,2019-11-01T21:04:05.435,5.637,4.024,3.514,5.179
1572642245454,2019-11-01T21:04:05.454,5.656,16.357,-1.444,7.702
1572642245474,2019-11-01T21:04:05.474,5.676,13.464,5.225,4.775
1572642245495,2019-11-01T21:04:05.495,5.697,4.234,5.728,2.530
1572642245515,2019-11-01T21:04:05.515,5.717,-1.612,0.099,2.302
1572642245534,2019-11-01T21:04:05.534,5.736,-5.667,-8.430,1.402
1572642245555,2019-11-01T21:04:05.555,5.757,-18.034,-3.102,-1.067
1572642245575,2019-11-01T21:04:05.575,5.777,-28.422,21.147,-0.789
1572642245594,2019-11-01T21:04:05.594,5.796,-8.868,5.503,-4.771
1572642245615,2019-11-01T21:04:05.615,5.817,7.923,-27.694,-11.425
1572642245635,2019-11-01T21:04:05.635,5.837,-11.166,-10.423,-0.949
1572642245654,2019-11-01T21:04:05.654,5.856,18.476,-4.596,8.110
1572642245675,2019-11-01T21:04:05.675,5.877,19.566,-8.952,3.289
1572642245695,2019-11-01T21:04:05.695,5.897,-1.364,0.309,-0.892
1572642245714,2019-11-01T21:04:05.714,5.916,-9.200,11.006,-3.750
1572642245735,2019-11-01T21:04:05.735,5.937,4.745,6.742,0.267
1572642245755,2019-11-01T21:04:05.755,5.957,24.120,1.726,6.787
1572642245776,2019-11-01T21:04:05.776,5.978,14.398,6.719,8.811
1572642245795,2019-11-01T21:04:05.795,5.997,4.848,5.812,8.624
1572642245816,2019-11-01T21:04:05.816,6.018,-9.253,-0.030,1.429
1572642245836,2019-11-01T21:04:05.836,6.038,-28.041,13.335,-2.378
1572642245855,2019-11-01T21:04:05.855,6.057,-26.452,17.138,-2.176
1572642245876,2019-11-01T21:04:05.876,6.078,-3.773,-25.168,-12.889
1572642245896,2019-11-01T21:04:05.896,6.098,-8.834,-34.051,-15.488
1572642245915,2019-11-01T21:04:05.915,6.117,-27.176,-4.668,-2.294
1572642245936,2019-11-01T21:04:05.936,6.138,15.027,2.416,-0.259
1572642245956,2019-11-01T21:04:05.956,6.158,40.301,2.092,-3.761
1572642245975,2019-11-01T21:04:05.975,6.177,19.756,2.889,-3.045
1572642245996,2019-11-01T21:04:05.996,6.198,-3.803,8.727,-4.341
1572642246016,2019-11-01T21:04:06.016,6.218,2.809,8.944,-1.574
1572642246037,2019-11-01T21:04:06.037,6.239,11.608,4.756,2.309
1572642246056,2019-11-01T21:04:06.056,6.258,9.169,8.251,1.696
1572642246076,2019-11-01T21:04:06.076,6.278,0.709,8.506,-0.614
1572642246097,2019-11-01T21:04:06.097,6.299,-3.045,1.547,0.118
1572642246116,2019-11-01T21:04:06.116,6.318,-11.555,-6.692,-1.563
1572642246136,2019-11-01T21:04:06.136,6.338,-27.652,6.090,-2.771
1572642246157,2019-11-01T21:04:06.157,6.359,-21.532,12.039,-4.329
1572642246176,2019-11-01T21:04:06.176,6.378,-3.377,-19.943,-14.954
1572642246196,2019-11-01T21:04:06.196,6.398,-11.845,-22.355,-12.470
1572642246217,2019-11-01T21:04:06.217,6.419,-17.153,0.103,-0.168
1572642246236,2019-11-01T21:04:06.236,6.438,20.084,3.834,0.549
1572642246256,2019-11-01T21:04:06.256,6.458,31.833,-0.370,-0.583
1572642246277,2019-11-01T21:04:06.277,6.479,9.577,2.138,-2.527
1572642246297,2019-11-01T21:04:06.297,6.499,-5.118,7.420,-4.123
1572642246317,2019-11-01T21:04:06.317,6.519,5.232,2.984,0.038
1572642246337,2019-11-01T21:04:06.337,6.539,11.532,-2.538,2.557
1572642246358,2019-11-01T21:04:06.358,6.560,6.879,4.356,2.329
1572642246377,2019-11-01T21:04:06.377,6.579,-0.217,9.032,1.338
1572642246397,2019-11-01T21:04:06.397,6.599,-0.442,2.092,1.109
1572642246418,2019-11-01T21:04:06.418,6.620,-3.277,-12.580,1.040
1572642246437,2019-11-01T21:04:06.437,6.639,-15.141,-8.666,-1.319
1572642246457,2019-11-01T21:04:06.457,6.659,-27.614,19.112,-1.441
1572642246478,2019-11-01T21:04:06.478,6.680,-9.093,5.141,-5.972
1572642246497,2019-11-01T21:04:06.497,6.699,9.386,-27.050,-15.171
1572642246517,2019-11-01T21:04:06.517,6.719,-10.903,-5.164,-5.694
1572642246538,2019-11-01T21:04:06.538,6.740,5.739,12.508,0.297
1572642246557,2019-11-01T21:04:06.557,6.759,16.292,-0.450,-3.975
1572642246577,2019-11-01T21:04:06.577,6.779,5.381,-9.539,-0.857
1572642246598,2019-11-01T21:04:06.598,6.800,-2.896,0.598,0.614
1572642246618,2019-11-01T21:04:06.618,6.820,-2.355,8.567,-2.782
1572642246637,2019-11-01T21:04:06.637,6.839,1.242,3.525,-1.540
1572642246658,2019-11-01T21:04:06.658,6.860,11.151,-1.189,1.959
1572642246678,2019-11-01T21:04:06.678,6.880,4.809,3.697,2.424
1572642246697,2019-11-01T21:04:06.697,6.899,2.732,6.433,2.123
1572642246718,2019-11-01T21:04:06.718,6.920,1.658,-0.655,-0.537
1572642246738,2019-11-01T21:04:06.738,6.940,-4.958,-5.084,-2.393
1572642246757,2019-11-01T21:04:06.757,6.959,-21.494,12.027,-1.433
1572642246778,2019-11-01T21:04:06.778,6.980,-25.606,24.051,-0.774
1572642246798,2019-11-01T21:04:06.798,7.000,-5.461,-5.899,-6.837
1572642246817,2019-11-01T21:04:06.817,7.019,-2.458,-34.775,-10.907
1572642246838,2019-11-01T21:04:06.838,7.040,-25.564,-14.284,-2.950
1572642246859,2019-11-01T21:04:06.859,7.061,-4.535,-3.338,2.325
1572642246879,2019-11-01T21:04:06.879,7.081,33.072,-4.409,1.768
1572642246898,2019-11-01T21:04:06.898,7.100,36.181,-2.115,0.137
1572642246919,2019-11-01T21:04:06.919,7.121,7.355,6.014,-2.359
1572642246939,2019-11-01T21:04:06.939,7.141,-1.357,7.462,-0.644
1572642246958,2019-11-01T21:04:06.958,7.160,14.127,-5.907,5.465
1572642246979,2019-11-01T21:04:06.979,7.181,16.002,0.091,5.008
1572642246999,2019-11-01T21:04:06.999,7.201,6.486,5.629,-2.153
1572642247018,2019-11-01T21:04:07.018,7.220,-2.698,10.297,-4.139
1572642247039,2019-11-01T21:04:07.039,7.241,-3.140,10.640,-0.522
